avg_duration,avg_pitch,avg_tempo,avg_velocity,chord_entropy,duration_range,duration_std,duration,dynamic_range,harmony_complexity,instrument_diversity,interval_histogram,key_changes,key,legato_ratio,mode,note_density,notes,num_instruments,pitch_class_histogram,pitch_range,pitch_std,polyphony_density,rhythmic_complexity,staccato_ratio,tempo_changes_count,tempo_variability,time_signature,velocity_variance,filename,composer
0.6184664197579992,60.48481880509305,73.7214985339432,100.15866797257591,0,7.2701356625,0.6885993404355161,151.54813035000006,27,0,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,0,0.2957884427032321,"   minor
0   True",6.737133593413543,1021,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",44,8.489609636727394,0.6184664197579992,4.048981698883555,0.0,393,10.314346392981188,4,4.258859734028115,chopin-19_polish_songs_for_solo_voice_and_piano_accomplements_no16.mid,chopin
0.3070494186046512,66.36434108527132,120.0,54.736434108527135,0,4.541666666666686,0.2657174976896955,169.25,24,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,0,0.0733204134366925,"   minor
0   True",18.292466765140325,3096,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",51,9.888379355144995,0.3070494186046512,5.102338831907021,0.05813953488372093,1,0,6,136.51192836968934,bach-musical_offering_n10.mid,bach
0.44631157690657874,65.4643237486688,68.86961716381458,100.0,0,3.5032864374999946,0.2914240049348432,233.60146711458336,0,0,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0,0,0.20234291799787008,"   minor
0   True",12.058999606446132,2817,8,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",62,13.247656902111947,0.44631157690657874,11.488169016892819,0.014909478168264111,23,4.245764126149868,4,0.0,bach-4_blute_nur_du_liebes_herz_soprano_aria.mid,bach
0.12184654017210152,61.61739130434783,114.9868927407385,56.90869565217391,0,0.21566837499999947,0.03570226164335748,30.475296833333346,65,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,2,0.0,"   major
0   True",15.094192601821028,460,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",52,10.560247533903535,0.12184654017210152,1.3789606674249533,0.21304347826086956,379,3.9320932586253865,3,176.40035916824195,chopin-prelude_n05_op28_uncertainty.mid,chopin
0.24092920278629978,63.06748466257669,69.2500377792046,80.0,0,3.5005343916666636,0.28315850327995806,43.41303439166666,0,0,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,0,0.012269938650306749,"   major
0   True",7.509265467575269,326,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",46,11.227501748544439,0.24092920278629978,2.326036312012678,0.0,4,9.256759571351287,4,0.0,bach-bsgjg_d.mid,bach
0.5996309963099631,60.79335793357934,96.0,96.0,0,2.1875,0.36227945625812497,42.5,0,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,11,0.6383763837638377,"   major
0   True",6.376470588235295,271,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",31,6.816635838053571,0.5996309963099631,4.15915990448926,0.0,1,0,4,0.0,bach-027000b.mid,bach
0.5492087961360779,64.2507349853003,28.66667146666859,55.497690046199075,0,6.597219583333356,0.5574642061814664,309.333212,36,0,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,5,0.38093238135237295,"   major
0   True",7.697201295022921,2381,7,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",57,12.050525565570062,0.5492087961360779,15.291007055795468,0.12263754724905501,3,6.599668624683348,1,281.58556795264764,mozart-symphony_n28_k200_2mov.mid,mozart
0.42901326591713257,61.52625698324022,195.4466715574425,63.77653631284916,0,3.3813572500000006,0.3791946405135163,124.19588765,62,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,1,0.3675977653631285,"   major
0   True",7.2063577702526285,895,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",50,9.97993142467533,0.42901326591713257,4.147831531556305,0.1430167597765363,318,14.970334498860673,3,146.6539745950501,beethoven-piano_sonata_n14_op27_2mov_moonlight.mid,beethoven
0.4460705782712512,60.74498567335244,50.12503453127964,80.0,0,5.468610983333342,0.47303847327335463,51.29064308333334,0,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,0,0.31805157593123207,"   major
0   True",6.80435999667561,349,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",35,7.7160020017436635,0.4460705782712512,4.241905058693605,0.0,8,15.29248667585377,4,0.0,bach-bsgjg_e.mid,bach
0.23374666253244336,62.543937708565075,99.7613929410721,63.97107897664071,0,2.43778411666667,0.20657487239317257,114.35138644166665,8,0,1,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1,2,0.024471635150166853,"   major
0   True",7.861732401981861,899,2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",43,9.017904231597763,0.23374666253244336,3.746718712799358,0.0967741935483871,316,23.438356369697022,2,0.19048726740006508,bach-wtcii24a.mid,bach
