duration,num_instruments,notes,avg_pitch,pitch_range,pitch_std,avg_duration,duration_range,duration_std,time_signature,key,mode,harmony_complexity,note_density,avg_velocity,velocity_variance,dynamic_range,staccato_ratio,legato_ratio,polyphony_density,tempo_variability,avg_tempo,instrument_diversity,articulation_variability,dynamic_variability,pitch_class_histogram,interval_histogram,pitch_entropy,duration_entropy,velocity_entropy,chord_entropy,key_changes,tempo_changes_count,pitch_skewness,pitch_kurtosis,contour_direction,rhythmic_complexity,filename,composer
422.786261625,10,6529,63.98483688160515,56,10.767950912937033,0.33704190930846967,2.4589608250000197,0.2958226356008168,8,0,major,52,15.442791293419669,75.68770102619084,259.33500113224125,123,0.06279675294838413,0.18364221167100628,0.33704190930846967,15.167475021600715,78.60666992624415,2,0.2958226356008168,16.10388155483768,"[1386, 63, 656, 176, 915, 634, 152, 1039, 173, 621, 184, 530]","[42, 178, 276, 339, 775, 558, 1109, 518, 555, 259, 147, 290]",4.98570739300953,3.6675610234926523,3.3824721626854384,4.98570739300953,1,3,-0.24001676192974214,-0.7293301141630066,-349,12.744342987752287,mozart-k317_coronation_mass_3mov.mid,mozart
204.78284131666678,11,1728,61.839699074074076,57,10.163096955370365,0.5731447527126738,7.0915740083333105,0.7224468830153125,6,5,major,48,8.438206975202089,84.27025462962963,84.16133743516374,50,0.016203703703703703,0.20023148148148148,0.5731447527126738,3.3857475825060104,63.562332156091365,6,0.7224468830153125,9.17394884633459,"[393, 10, 184, 26, 132, 336, 1, 182, 20, 247, 155, 42]","[15, 102, 87, 138, 206, 123, 267, 104, 133, 136, 93, 131]",4.521431470422029,2.9727382224886023,1.6951842217246353,4.521431470422029,1,2639,-0.9099765180040515,1.1181307449738762,-64,11.714429398270012,mozart-k335_laudate_dominus.mid,mozart
119.59594933333335,2,992,62.64616935483871,48,10.80466247940673,0.1991716388818885,1.698231885416675,0.16291432909726486,3,7,major,47,8.294595306360542,110.0,0.0,0,0.0030241935483870967,0.11995967741935484,0.1991716388818885,4.999996666665449,50.00000791666825,1,0.16291432909726486,0.0,"[59, 81, 81, 59, 143, 22, 114, 99, 44, 113, 50, 127]","[25, 0, 1, 40, 186, 173, 42, 131, 176, 26, 17, 28]",5.185277363184838,1.4988265401966785,-1.4426951595367387e-09,5.185277363184838,1,2,-0.05759589822417368,-1.0609064118277878,-35,3.6849636881984114,bach-bwv802_four_inventions_duettos_clavier_ubung_iii_n1.mid,bach
376.98268381250006,2,3195,60.05414710485133,76,13.077183089002975,0.4602412532733439,10.499940250000009,0.7858565808798211,4,0,minor,71,8.475190339482802,59.18779342723005,350.3553439573277,100,0.05070422535211268,0.24663536776212833,0.4602412532733439,21.144157384029306,57.76100299558933,1,0.7858565808798211,18.717781491334055,"[504, 82, 361, 338, 173, 333, 85, 612, 308, 118, 125, 156]","[73, 239, 264, 283, 202, 44, 52, 48, 81, 48, 44, 109]",5.392989255055454,2.963072687403026,5.9040948094242545,5.392989255055454,3,820,-0.3660710148777797,-0.4323970998942732,-788,6.533808160194192,chopin-nocturne_op48_n1.mid,chopin
242.55166,3,1136,65.11531690140845,46,8.395478614538847,0.6826475352112676,12.844033750000008,0.7399529080793258,4,0,major,44,4.683538343955263,93.58450704225352,13.334407855584208,10,0.0017605633802816902,0.28080985915492956,0.6826475352112676,28.66190822080665,90.62555625839946,2,0.7399529080793258,3.651630848755691,"[8, 146, 137, 22, 163, 5, 183, 112, 36, 100, 46, 178]","[20, 40, 35, 61, 189, 119, 40, 116, 179, 32, 27, 86]",4.631859212324336,2.2519951617409864,0.6305902277381855,4.631859212324336,0,8,-0.43391861957397615,-0.15303532794939967,-29,10.16396253281459,bach-bwv0563_fantasie_con_imitation.mid,bach
260.99993475,4,3012,64.65073041168658,60,12.05510489026827,0.1830951596115541,7.28017059375,0.21550939602336716,3,7,major,55,11.540232770115663,52.80478087649402,465.75206213657987,97,0.34926958831341304,0.03386454183266932,0.1830951596115541,0.0,145.00003625000906,1,0.21550939602336716,21.58128963098776,"[358, 91, 447, 90, 294, 119, 268, 603, 23, 251, 38, 430]","[21, 134, 142, 223, 302, 311, 446, 370, 244, 127, 128, 173]",5.172961831641231,1.6826304588747454,2.8742717966041136,5.172961831641231,3,1,-0.08656629856773353,-0.6054955290944704,-73,8.140295403408233,beethoven-string_quartet_n2_op18_n2_3mov.mid,beethoven
90.8495675729167,2,1504,62.680851063829785,52,11.211126944281594,0.15028992974429287,3.474257250000008,0.2359130135241606,4,0,major,49,16.554839391974824,49.276595744680854,163.9540799004074,69,0.699468085106383,0.020611702127659573,0.15028992974429287,9.761103863282992,179.4698599606618,1,0.2359130135241606,12.804455470671426,"[199, 25, 118, 50, 296, 138, 30, 102, 129, 228, 38, 151]","[39, 103, 45, 37, 30, 11, 14, 1, 21, 56, 68, 129]",5.1292122803944515,1.418489388818228,5.348538246666346,5.1292122803944515,1,374,-0.06205041690851209,-0.7658576224640918,31,2.236461082584209,chopin-etude_op25_n04.mid,chopin
393.08803875000007,4,4208,66.85171102661597,58,11.79455660520787,0.22388628791141862,17.892147916666687,0.45745332805591865,2,7,major,58,10.704981035243977,55.782794676806084,472.98086367267126,97,0.40874524714828897,0.07224334600760456,0.22388628791141862,0.0,102.0000510000255,1,0.45745332805591865,21.748123221847703,"[265, 238, 677, 135, 435, 114, 449, 535, 84, 609, 144, 523]","[10, 166, 206, 273, 421, 397, 540, 506, 495, 200, 134, 226]",5.3042295796423184,1.4286011683391575,3.0505616051362034,5.3042295796423184,1,1,-0.16334298932263752,-0.5257565436170966,91,10.451392297367981,beethoven-string_quartet_n2_op18_n2_1mov.mid,beethoven
287.92274299999997,12,9603,63.562011871290224,64,14.063059296360477,0.1985139296313656,4.8634887875000175,0.4032623366572322,4,0,major,65,33.352696976772,83.52712693949807,504.15096151538694,93,0.7066541705716963,0.08018327605956473,0.1985139296313656,22.258406692402094,133.7500473500829,5,0.4032623366572322,22.453306249089174,"[2066, 163, 1141, 421, 936, 735, 324, 1819, 255, 625, 257, 861]","[70, 285, 348, 540, 625, 490, 1610, 651, 698, 625, 390, 383]",5.377516814632814,2.456321611480379,2.549808726464808,5.377516814632814,1,8,-0.06510086538437503,-0.7857263445560596,308,9.367131897333419,beethoven-overture_creatures_of_prometheus_op43.mid,beethoven
322.8646013541672,2,1475,63.60542372881356,67,11.359826825195006,0.5668745739689275,8.43827216666675,0.821068778182307,12,3,major,55,4.568478531909402,48.11661016949152,227.25691054294745,68,0.0711864406779661,0.24949152542372882,0.5668745739689275,20.09264017776974,81.73632035334748,1,0.821068778182307,15.075042638180081,"[159, 99, 163, 240, 30, 173, 43, 175, 146, 29, 178, 40]","[26, 59, 50, 48, 166, 135, 21, 121, 129, 79, 60, 110]",5.113499103526324,3.5153545335467697,5.244461468872432,5.113499103526324,1,819,-0.32865007087682463,-0.6354592860235613,103,8.08871673028128,chopin-nocturne_op55_n2.mid,chopin
